,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
pS18 (Endo art),0,1.618281821,0.377,0.117,0,0,pS18 (Endo art)
pEpi28,0,1.581687451,0.698,0.296,0,0,pEpi28
pP01,0,1.563625576,0.793,0.363,0,0,pP01
pEpip03,0,1.538657953,0.74,0.328,0,0,pEpip03
pS02 (Fibro stem cell niche),0,1.45656901,0.487,0.176,0,0,pS02 (Fibro stem cell niche)
"pEpi29 (REG4, AGR2, AGR3)",0,1.419791022,0.49,0.175,0,0,"pEpi29 (REG4, AGR2, AGR3)"
pEpid06,0,1.419400796,0.763,0.359,0,0,pEpid06
pP04,0,1.418407181,0.756,0.343,0,0,pP04
AL928768.3,0,1.402196603,0.269,0.113,0,0,AL928768.3
pT18 (CXCL13 T),0,1.370759292,0.429,0.168,0,0,pT18 (CXCL13 T)
SPINK2,2.49E-278,1.335352421,0.295,0.142,1.38E-273,0,SPINK2
RPS4Y1,0,1.325948992,0.366,0.172,0,0,RPS4Y1
pEpi23,0,1.318784569,0.645,0.291,0,0,pEpi23
XXbac-BPG246D15.8,7.14E-174,1.270684609,0.17,0.074,3.97E-169,0,XXbac-BPG246D15.8
pS24 (Endo ven),0,1.253037805,0.779,0.38,0,0,pS24 (Endo ven)
AC006129.4,1.08E-281,1.251879734,0.242,0.099,5.98E-277,0,AC006129.4
pP02,0,1.249443562,0.744,0.367,0,0,pP02
"pM08 (proteasome, protein folding)",0,1.243478588,0.802,0.422,0,0,"pM08 (proteasome, protein folding)"
pB12,0,1.235433509,0.757,0.372,0,0,pB12
pS17 (Fibro BMP-producing),0,1.224030703,0.803,0.419,0,0,pS17 (Fibro BMP-producing)
pEpid11 (sterol biosynthesis),0,1.220054177,0.804,0.423,0,0,pEpid11 (sterol biosynthesis)
pT04,0,1.21876834,0.631,0.293,0,0,pT04
pM06 (APOE),0,1.211032807,0.389,0.17,0,0,pM06 (APOE)
WBSCR22,0,1.205635449,0.368,0.167,0,0,WBSCR22
EIF1AY,1.08E-163,1.200148601,0.204,0.101,6.01E-159,0,EIF1AY
pM09,0,1.183499272,0.801,0.414,0,0,pM09
pMA05,0,1.17951987,0.666,0.298,0,0,pMA05
pT08 (innate T),0,1.176525726,0.785,0.402,0,0,pT08 (innate T)
pMA02,0,1.165493387,0.802,0.422,0,0,pMA02
"pM01 (SEPP1, LYVE1)",3.34E-209,1.165372888,0.167,0.062,1.86E-204,0,"pM01 (SEPP1, LYVE1)"
C17orf101,8.73E-146,1.162401526,0.165,0.076,4.85E-141,0,C17orf101
"pEpip15 (B2M, MHCI)",0,1.162070766,0.804,0.426,0,0,"pEpip15 (B2M, MHCI)"
pEpid18,0,1.153163413,0.689,0.317,0,0,pEpid18
BEX5,4.60E-62,1.149806203,0.189,0.129,2.55E-57,0,BEX5
pT05,0,1.14943256,0.798,0.414,0,0,pT05
RP6-109B7.3,6.02E-176,1.147102536,0.18,0.08,3.34E-171,0,RP6-109B7.3
pM20 (inflammatory),0,1.145563212,0.642,0.32,0,0,pM20 (inflammatory)
C14orf156,0,1.145470963,0.374,0.17,0,0,C14orf156
C14orf1,1.18E-116,1.141181015,0.154,0.077,6.53E-112,0,C14orf1
pEpip24 (Tuft-like),0,1.14021598,0.804,0.421,0,0,pEpip24 (Tuft-like)
pS19 (Endo cap),0,1.137730722,0.544,0.24,0,0,pS19 (Endo cap)
"pT07 (proteasome, ER)",0,1.120756964,0.804,0.429,0,0,"pT07 (proteasome, ER)"
pEpip11,1.14E-230,1.111512335,0.219,0.092,6.31E-226,0,pEpip11
pS13 (inflammatory),0,1.108258552,0.802,0.42,0,0,pS13 (inflammatory)
"pEpi22 (ARID3A, TSPAN6)",0,1.106621931,0.727,0.357,0,0,"pEpi22 (ARID3A, TSPAN6)"
pT02 (Treg),0,1.098226872,0.774,0.388,0,0,pT02 (Treg)
pEpi04 (sterol biosynthesis),0,1.097612358,0.804,0.424,0,0,pEpi04 (sterol biosynthesis)
CTHRC1,1.77E-46,1.093403428,0.171,0.121,9.82E-42,0,CTHRC1
"pEpid22 (KRT18, actin)",0,1.087347505,0.747,0.367,0,0,"pEpid22 (KRT18, actin)"
pP11,0,1.087184212,0.673,0.313,0,0,pP11
pEpi30 (ISGs),0,1.086942521,0.786,0.395,0,0,pEpi30 (ISGs)
"pEpid19 (MHCII, ISGs)",0,1.085552824,0.804,0.421,0,0,"pEpid19 (MHCII, ISGs)"
pS12 (prolif),0,1.084077493,0.803,0.421,0,0,pS12 (prolif)
RP3-412A9.11,0,1.083890306,0.635,0.291,0,0,RP3-412A9.11
C19orf10,0,1.079989166,0.672,0.318,0,0,C19orf10
SMOC1,1.93E-73,1.073581234,0.179,0.114,1.07E-68,0,SMOC1
pS23 (Endo lymph),0,1.072064627,0.597,0.277,0,0,pS23 (Endo lymph)
pEpi38,0,1.066829009,0.796,0.404,0,0,pEpi38
"pEpip19 (HSPA1A, CD46)",0,1.065142433,0.803,0.424,0,0,"pEpip19 (HSPA1A, CD46)"
pB11 (glycolysis),0,1.064010275,0.804,0.419,0,0,pB11 (glycolysis)
pB09,0,1.060482672,0.804,0.431,0,0,pB09
"pEpi34 (MHCII, ISGs)",0,1.056113173,0.804,0.43,0,0,"pEpi34 (MHCII, ISGs)"
pEpid28 (Elongation factors),0,1.053956176,0.801,0.413,0,0,pEpid28 (Elongation factors)
pEpi18 (Tuft-like),0,1.051202839,0.804,0.431,0,0,pEpi18 (Tuft-like)
ATP5A1,0,1.049921622,0.588,0.284,0,0,ATP5A1
C19orf79,0,1.047869079,0.405,0.188,0,0,C19orf79
TNFRSF4,1.84E-202,1.044982841,0.372,0.24,1.02E-197,0,TNFRSF4
EVI2A,3.90E-227,1.041699542,0.407,0.266,2.17E-222,0,EVI2A
TNFRSF18,0,1.040114336,0.504,0.319,0,0,TNFRSF18
pEpip23 (POLR1D),0,1.035868668,0.803,0.426,0,0,pEpip23 (POLR1D)
pP06,0,1.03550963,0.782,0.405,0,0,pP06
pEpip16 (Elongation factors),0,1.035190395,0.803,0.419,0,0,pEpip16 (Elongation factors)
pM05 (C1Q),0,1.033102096,0.348,0.155,0,0,pM05 (C1Q)
HEXB,1.55E-195,1.03199626,0.442,0.324,8.60E-191,0,HEXB
pEpi33,0,1.031930991,0.804,0.422,0,0,pEpi33
PSMA2,0,1.028058114,0.471,0.288,0,0,PSMA2
SELT,0,1.028004804,0.534,0.263,0,0,SELT
pEpip06,0,1.02433549,0.804,0.423,0,0,pEpip06
pB03,0,1.0184186,0.804,0.427,0,0,pB03
pEpid29 (XBP1),0,1.018130278,0.803,0.419,0,0,pEpid29 (XBP1)
ATP5O,0,1.017575474,0.552,0.271,0,0,ATP5O
pB01,0,1.015750616,0.804,0.432,0,0,pB01
RP11-884K10.5,0,1.014580484,0.7,0.336,0,0,RP11-884K10.5
pT09 (Elongationfactors),0,1.013700185,0.803,0.423,0,0,pT09 (Elongationfactors)
UFD1L,7.54E-152,1.011784321,0.207,0.106,4.19E-147,0,UFD1L
pEpi42 (elongation factors),0,1.008168436,0.794,0.4,0,0,pEpi42 (elongation factors)
pMA04,0,1.008019736,0.804,0.431,0,0,pMA04
COPRS,8.63E-53,1.006955789,0.171,0.118,4.79E-48,0,COPRS
LSR,4.76E-62,1.005443751,0.25,0.188,2.64E-57,0,LSR
pM17,0,1.004200158,0.782,0.388,0,0,pM17
ATP5B,0,0.999445805,0.433,0.213,0,0,ATP5B
GLTSCR2,0,0.997680866,0.738,0.368,0,0,GLTSCR2
"pEpi41 (GSN, MUC2, MUC4)",0,0.996429821,0.332,0.111,0,0,"pEpi41 (GSN, MUC2, MUC4)"
pB14,0,0.995658467,0.803,0.416,0,0,pB14
pEpi25 (ribosomal genes),0,0.994374977,0.804,0.423,0,0,pEpi25 (ribosomal genes)
PPT1,1.45E-37,0.994352458,0.192,0.147,8.04E-33,0,PPT1
pS22 (Schwann),0,0.99255799,0.627,0.303,0,0,pS22 (Schwann)
pMA07,0,0.99217406,0.804,0.427,0,0,pMA07
TIMP1,0,0.991315748,0.699,0.475,0,0,TIMP1
pEpi13 (glycolysis),0,0.99083176,0.731,0.364,0,0,pEpi13 (glycolysis)
pEpi02 (ribosomal genes),0,0.989591199,0.774,0.394,0,0,pEpi02 (ribosomal genes)
pT10,0,0.982687462,0.622,0.299,0,0,pT10
pS05 (ISGs),0,0.972808877,0.797,0.421,0,0,pS05 (ISGs)
TMEM45A,1.55E-66,0.971120742,0.197,0.133,8.63E-62,0,TMEM45A
pT14 (gd-like T),0,0.966754533,0.666,0.32,0,0,pT14 (gd-like T)
CCR10,1.35E-257,0.964085538,0.491,0.344,7.49E-253,0,CCR10
DDIT4,0,0.963671362,0.674,0.449,0,0,DDIT4
pS16 (Metallothionein),0,0.962900861,0.531,0.255,0,0,pS16 (Metallothionein)
GPR160,4.42E-164,0.960248127,0.41,0.298,2.45E-159,0,GPR160
ATP5G1,0,0.959390857,0.488,0.245,0,0,ATP5G1
pEpi19,0,0.956486067,0.804,0.426,0,0,pEpi19
pEpid23,0,0.950564226,0.804,0.432,0,0,pEpid23
pEpip12,0,0.948778137,0.804,0.43,0,0,pEpip12
LINC00493,0,0.946921799,0.399,0.205,0,0,LINC00493
"pEpip28 (SPINK4, XBP1)",0,0.943062366,0.801,0.42,0,0,"pEpip28 (SPINK4, XBP1)"
pM07 (pDC),0,0.942708152,0.804,0.434,0,0,pM07 (pDC)
